,Jan.,Feb.,March,April,May,June,July,August,Sept.,Oct.,Nov.,Dec
1873,,,,,,23.0,9.0,,10.0,2.0,,
1879,,,,,,1.0,,,,,,
1884,,,,,,2.0,4.0,4.0,1.0,,3.0,
1885,4.0,7.0,19.0,6.0,13.0,10.0,5.0,32.0,27.0,28.0,24.0,10.0
1886,8.0,14.0,13.0,6.0,13.0,3.0,12.0,9.0,3.0,17.0,7.0,
1887,21.0,29.0,16.0,22.0,30.0,16.0,,,17.0,,,
1888,85.0,86.0,73.0,27.0,43.0,53.0,68.0,82.0,74.0,78.0,53.0,45.0
1889,26.0,13.0,18.0,11.0,25.0,20.0,15.0,19.0,17.0,10.0,6.0,1.0
1890,,,47.0,16.0,25.0,53.0,78.0,55.0,81.0,104.0,72.0,44.0
1891,,,,,13.0,7.0,30.0,15.0,5.0,,4.0,2.0
1892,,,,,,2.0,,,,,,
1893,15.0,23.0,15.0,5.0,17.0,29.0,22.0,21.0,25.0,41.0,28.0,29.0
1894,,2.0,27.0,12.0,31.0,,,,2.0,6.0,,
1895,,1.0,1.0,,,3.0,3.0,8.0,4.0,,13.0,5.0
1896,4.0,3.0,14.0,24.0,20.0,28.0,49.0,24.0,72.0,18.0,12.0,1.0
1897,1.0,,3.0,,17.0,62.0,183.0,200.0,187.0,184.0,162.0,135.0
1898,,,,,3.0,8.0,8.0,2.0,1.0,,,
1899,20.0,8.0,10.0,3.0,1.0,20.0,17.0,16.0,24.0,5.0,5.0,4.0
1900,203.0,217.0,273.0,226.0,383.0,413.0,404.0,507.0,410.0,394.0,292.0,187.0
1901,6.0,1.0,24.0,40.0,62.0,86.0,56.0,38.0,34.0,32.0,22.0,6.0
1902,,,,,,,,,,1.0,,
1905,,,,,,3.0,,,4.0,1.0,,
1907,22.0,4.0,11.0,18.0,14.0,6.0,,,6.0,4.0,5.0,
1909,,,,4.0,4.0,5.0,,,,,,
1910,,1.0,,,,4.0,,5.0,4.0,7.0,,
1911,5.0,3.0,10.0,2.0,,10.0,4.0,8.0,,10.0,2.0,4.0
1912,12.0,4.0,16.0,14.0,17.0,52.0,64.0,54.0,53.0,53.0,49.0,50.0
1913,,,,,,15.0,25.0,12.0,,,4.0,2.0
1914,,,7.0,,,,,1.0,2.0,,,
1915,,,1.0,1.0,9.0,3.0,13.0,22.0,9.0,14.0,15.0,2.0
1916,,,,,,12.0,4.0,4.0,,,1.0,
1917,6.0,,,1.0,19.0,43.0,18.0,11.0,20.0,13.0,10.0,4.0
1918,27.0,39.0,40.0,23.0,24.0,64.0,46.0,65.0,69.0,49.0,51.0,61.0
1919,24.0,11.0,12.0,1.0,8.0,39.0,53.0,44.0,30.0,15.0,14.0,11.0
1920,3.0,,6.0,1.0,5.0,7.0,,3.0,13.0,1.0,9.0,5.0
1921,17.0,21.0,8.0,1.0,,5.0,6.0,21.0,56.0,66.0,25.0,10.0
1922,,,,,25.0,37.0,48.0,45.0,73.0,66.0,77.0,62.0
1923,1.0,3.0,,,2.0,7.0,1.0,8.0,132.0,18.0,1.0,1.0
1924,59.0,37.0,52.0,,7.0,7.0,21.0,25.0,28.0,55.0,51.0,40.0
1925,,,,,,,,,,4.0,,
1926,,,1.0,,,,,5.0,,,,
1927,1.0,1.0,1.0,,,,,1.0,6.0,2.0,,
1928,,,3.0,2.0,24.0,71.0,54.0,32.0,53.0,49.0,67.0,30.0
1929,26.0,8.0,19.0,7.0,11.0,3.0,34.0,65.0,72.0,38.0,21.0,9.0
1930,113.0,90.0,113.0,68.0,104.0,75.0,27.0,44.0,82.0,61.0,55.0,24.0
1931,1.0,2.0,10.0,4.0,24.0,32.0,,1.0,,2.0,50.0,64.0
1932,59.0,77.0,34.0,31.0,58.0,51.0,48.0,65.0,154.0,156.0,140.0,126.0
1933,106.0,73.0,48.0,,54.0,48.0,64.0,62.0,41.0,31.0,13.0,12.0
1934,34.0,42.0,51.0,53.0,47.0,80.0,91.0,125.0,156.0,174.0,252.0,192.0
1935,88.0,110.0,75.0,6.0,135.0,126.0,146.0,125.0,165.0,127.0,143.0,132.0
1936,357.0,157.0,138.0,48.0,115.0,48.0,167.0,242.0,451.0,473.0,302.0,101.0
1937,247.0,214.0,182.0,180.0,162.0,258.0,278.0,233.0,233.0,209.0,161.0,134.0
1938,699.0,1036.0,809.0,699.0,923.0,627.0,748.0,767.0,736.0,702.0,433.0,557.0
1939,133.0,105.0,133.0,29.0,116.0,87.0,61.0,87.0,145.0,172.0,111.0,95.0
1940,479.0,553.0,393.0,135.0,229.0,414.0,764.0,683.0,640.0,657.0,520.0,348.0
1941,566.0,416.0,469.0,316.0,490.0,565.0,607.0,742.0,764.0,756.0,682.0,520.0
1942,651.0,588.0,571.0,283.0,471.0,686.0,633.0,706.0,839.0,795.0,834.0,553.0
