,Jan.,Feb.,March,April,May,June,July,August,Sept.,Oct.,Nov.,Dec
Pershing Square North,10540.0,9246.0,6584.0,1462.0,2784.0,4927.0,5894.0,6791.0,7742.0,7944.0,6067.0,4060.0
8 Ave & W 31 St,8590.0,7373.0,5436.0,1466.0,2734.0,4219.0,5245.0,5775.0,6699.0,6330.0,4631.0,2867.0
Broadway & E 22 St,8197.0,7128.0,5751.0,2603.0,5179.0,6840.0,8419.0,8504.0,9383.0,8228.0,6484.0,4152.0
E 17 St & Broadway,8125.0,7181.0,6179.0,3036.0,6311.0,7622.0,9044.0,9473.0,11446.0,10863.0,8357.0,6331.0
W 21 St & 6 Ave,7924.0,7233.0,6108.0,2789.0,5323.0,7240.0,9878.0,12386.0,13967.0,12105.0,9037.0,6323.0
8 Ave & W 33 St,6587.0,5890.0,4463.0,1648.0,3601.0,5567.0,6219.0,6732.0,7101.0,6658.0,4996.0,3314.0
E 47 St & Park Ave,6440.0,5221.0,4191.0,831.0,1257.0,1838.0,2757.0,2944.0,3500.0,3433.0,2759.0,1792.0
6 Ave & W 33 St,6417.0,5978.0,4443.0,1958.0,3968.0,4852.0,6517.0,7300.0,8524.0,7421.0,6966.0,4118.0
W 20 St & 11 Ave,6227.0,5591.0,3934.0,1585.0,4129.0,5611.0,5981.0,6793.0,4804.0,,,
Broadway & E 14 St,6189.0,5928.0,4615.0,2446.0,5002.0,6958.0,7619.0,8276.0,8741.0,7713.0,6619.0,4712.0
University Pl & E 14 St,5999.0,5746.0,4640.0,2247.0,4494.0,6166.0,6843.0,7995.0,9119.0,8416.0,7226.0,4630.0
Lafayette St & E 8 St,5928.0,5677.0,4185.0,2089.0,3722.0,4887.0,5618.0,6113.0,7426.0,7064.0,4730.0,3213.0
W 41 St & 8 Ave,5906.0,5494.0,4488.0,1133.0,2652.0,4325.0,5635.0,5916.0,6200.0,5904.0,4964.0,3633.0
W 31 St & 7 Ave,5903.0,5329.0,3780.0,944.0,,2420.0,4452.0,5049.0,5429.0,5516.0,4466.0,3345.0
Christopher St & Greenwich St,5706.0,5128.0,4849.0,3127.0,6637.0,9414.0,10696.0,11557.0,11305.0,9447.0,6714.0,3656.0
Broadway & W 25 St,5624.0,5058.0,4528.0,2631.0,5670.0,6590.0,8534.0,8385.0,8599.0,7623.0,6275.0,3917.0
E 13 St & Avenue A,5605.0,5295.0,4827.0,2781.0,5312.0,8710.0,9088.0,9849.0,10280.0,10531.0,7552.0,4770.0
W 38 St & 8 Ave,5569.0,5129.0,4009.0,1868.0,3686.0,4679.0,1013.0,,,,,
W 33 St & 7 Ave,5382.0,4574.0,3521.0,991.0,2562.0,4142.0,5323.0,5556.0,6305.0,5782.0,4951.0,3643.0
Broadway & W 41 St,5216.0,4295.0,3168.0,1190.0,2428.0,2368.0,3876.0,4580.0,5026.0,5009.0,4058.0,2693.0
North Moore St & Greenwich St,5093.0,4523.0,3521.0,937.0,2310.0,3331.0,4013.0,4802.0,4883.0,4977.0,3363.0,1426.0
Greenwich Ave & 8 Ave,5045.0,4899.0,3647.0,1811.0,3941.0,5545.0,6698.0,7457.0,8894.0,7835.0,5891.0,3756.0
Broadway & W 60 St,5038.0,4701.0,5231.0,3326.0,8402.0,9653.0,9976.0,10459.0,11061.0,10031.0,8149.0,4755.0
W 17 St & 8 Ave,4939.0,4499.0,3337.0,1498.0,3145.0,4286.0,4946.0,5559.0,6198.0,5077.0,,1286.0
10 Ave & W 28 St,4934.0,4574.0,3069.0,1603.0,2765.0,3586.0,4667.0,5349.0,5643.0,5597.0,4285.0,2809.0
Grand St & Elizabeth St,4929.0,4583.0,4272.0,2288.0,4715.0,6467.0,7931.0,8899.0,9325.0,8288.0,6389.0,4444.0
Great Jones St,4912.0,4539.0,2969.0,993.0,2240.0,3219.0,3711.0,4269.0,5803.0,5448.0,4137.0,2959.0
Cooper Square & Astor Pl,4796.0,4873.0,3461.0,1277.0,2496.0,3528.0,4021.0,4514.0,5796.0,5562.0,4107.0,2522.0
Carmine St & 6 Ave,4791.0,4300.0,3825.0,2659.0,5538.0,7404.0,8523.0,10012.0,9884.0,8522.0,5968.0,3523.0
Lexington Ave & E 26 St,4773.0,4923.0,3851.0,1670.0,,3009.0,4952.0,7026.0,7655.0,6336.0,5053.0,2698.0
E 32 St & Park Ave,4750.0,4359.0,3239.0,1517.0,2941.0,3576.0,4277.0,4422.0,4950.0,5079.0,3507.0,2599.0
E 24 St & Park Ave S,4733.0,4334.0,3145.0,1000.0,2904.0,2459.0,,,,,,
W 27 St & 7 Ave,4713.0,4423.0,3296.0,1294.0,2641.0,3485.0,4135.0,4535.0,5133.0,4960.0,4150.0,2758.0
W 24 St & 7 Ave,4709.0,4389.0,3936.0,2365.0,4429.0,5630.0,6343.0,6714.0,7630.0,7094.0,5586.0,3564.0
West St & Chambers St,4695.0,4032.0,5857.0,4415.0,9633.0,11167.0,12371.0,13706.0,13783.0,10769.0,7573.0,3766.0
E 33 St & 1 Ave,4693.0,4004.0,3949.0,3269.0,6079.0,6728.0,7725.0,8368.0,9478.0,9048.0,6972.0,4459.0
Pershing Square South,4692.0,3810.0,2866.0,544.0,1071.0,1610.0,2335.0,2379.0,3145.0,3505.0,2532.0,1769.0
Broadway & W 56 St,4689.0,4362.0,3858.0,2340.0,5175.0,5865.0,6554.0,6922.0,8086.0,8241.0,4880.0,2668.0
W 18 St & 6 Ave,4532.0,3952.0,2938.0,741.0,1511.0,2874.0,3019.0,,,3104.0,3678.0,2723.0
1 Ave & E 16 St,4516.0,4249.0,3908.0,2640.0,,268.0,6061.0,7428.0,7546.0,7969.0,5372.0,3781.0
1 Ave & E 68 St,4511.0,3918.0,4345.0,4302.0,8226.0,10924.0,11100.0,11596.0,12689.0,11914.0,9506.0,7229.0
12 Ave & W 40 St,4425.0,3720.0,5180.0,4230.0,10345.0,12354.0,12808.0,14411.0,12922.0,9351.0,6605.0,2976.0
W 26 St & 8 Ave,4419.0,3915.0,3508.0,1995.0,3208.0,4112.0,5088.0,5173.0,6242.0,5723.0,4571.0,2980.0
9 Ave & W 22 St,4390.0,4203.0,3834.0,2522.0,4640.0,5779.0,7156.0,7968.0,8640.0,8035.0,6432.0,3962.0
Broadway & W 29 St,4362.0,4015.0,2849.0,1035.0,2165.0,2969.0,3902.0,4570.0,5487.0,5041.0,4246.0,2689.0
E 16 St & 5 Ave,4349.0,4024.0,3019.0,1134.0,2283.0,3134.0,4591.0,5749.0,5978.0,5299.0,3752.0,2626.0
Cleveland Pl & Spring St,4295.0,4002.0,3379.0,1759.0,3449.0,5636.0,7702.0,8605.0,9248.0,8336.0,6144.0,4081.0
E 20 St & 2 Ave,4239.0,3762.0,3250.0,1883.0,3765.0,6688.0,5785.0,2720.0,,3094.0,4347.0,2749.0
W 22 St & 8 Ave,4205.0,3726.0,3177.0,1853.0,3488.0,4770.0,5355.0,5968.0,6768.0,6112.0,4865.0,3204.0
W 22 St & 10 Ave,4192.0,3871.0,3321.0,2021.0,4316.0,5434.0,6299.0,7319.0,8637.0,8197.0,5677.0,3312.0
W 52 St & 6 Ave,4170.0,3682.0,2879.0,823.0,1487.0,1989.0,2484.0,2648.0,3324.0,3297.0,1971.0,1442.0
1 Ave & E 18 St,4128.0,3872.0,3329.0,2188.0,,215.0,4491.0,6314.0,7503.0,6419.0,4612.0,3107.0
2 Ave & E 31 St,4106.0,3664.0,3445.0,2514.0,4828.0,5977.0,6635.0,7292.0,7349.0,6415.0,5475.0,3598.0
E 15 St & 3 Ave,4106.0,3708.0,3227.0,1730.0,3262.0,4670.0,4752.0,6069.0,6709.0,6376.0,4848.0,2898.0
E 25 St & 2 Ave,4065.0,3851.0,3340.0,1924.0,4630.0,5523.0,6174.0,2607.0,,5454.0,4827.0,3051.0
W 15 St & 7 Ave,4020.0,3709.0,3302.0,2253.0,4135.0,5316.0,5846.0,6618.0,7130.0,6178.0,3898.0,2651.0
