,Jan.,Feb.,March,April,May,June,July,August,Sept.,Oct.,Nov.,Dec
Pershing Square North,10734.0,9393.0,6679.0,1492.0,2838.0,4905.0,6004.0,6819.0,7738.0,7921.0,6051.0,3927.0
8 Ave & W 31 St,7851.0,6993.0,5287.0,1447.0,2625.0,4156.0,5071.0,5686.0,6258.0,5834.0,4244.0,2824.0
W 21 St & 6 Ave,7809.0,7140.0,6058.0,2646.0,5296.0,7259.0,9700.0,12215.0,13875.0,12052.0,8899.0,6242.0
E 17 St & Broadway,7447.0,6836.0,5585.0,2831.0,6035.0,7459.0,8696.0,9363.0,11264.0,10551.0,7968.0,5972.0
Broadway & E 22 St,7310.0,6284.0,5201.0,2595.0,5167.0,6822.0,8376.0,8471.0,9365.0,8210.0,6396.0,4070.0
6 Ave & W 33 St,6633.0,6104.0,4569.0,2002.0,4063.0,4959.0,6479.0,7119.0,8432.0,7490.0,6963.0,4058.0
8 Ave & W 33 St,6565.0,5909.0,4541.0,1675.0,3572.0,5533.0,6344.0,6990.0,7721.0,7041.0,5474.0,3304.0
W 41 St & 8 Ave,6438.0,5842.0,4809.0,1200.0,3030.0,4484.0,5800.0,6019.0,6631.0,6517.0,5185.0,3815.0
E 47 St & Park Ave,6191.0,5215.0,4139.0,909.0,1425.0,1889.0,2893.0,3091.0,3815.0,3499.0,2815.0,1792.0
Broadway & E 14 St,6048.0,5918.0,4608.0,2438.0,5007.0,7019.0,7690.0,8294.0,8838.0,7717.0,6536.0,4620.0
W 20 St & 11 Ave,6022.0,5474.0,3762.0,1447.0,3964.0,5509.0,5599.0,6589.0,4730.0,,,
W 31 St & 7 Ave,5907.0,5219.0,3836.0,953.0,,2395.0,4416.0,5035.0,5420.0,5558.0,4494.0,3273.0
E 13 St & Avenue A,5854.0,5368.0,4767.0,2707.0,5339.0,8648.0,9035.0,9818.0,10239.0,10519.0,7610.0,4750.0
Broadway & W 56 St,5794.0,5193.0,4217.0,2386.0,5503.0,5975.0,6848.0,7173.0,8676.0,9051.0,5773.0,3072.0
Christopher St & Greenwich St,5782.0,5161.0,4786.0,2953.0,6341.0,8886.0,10204.0,11148.0,10512.0,8745.0,6498.0,3549.0
Broadway & W 25 St,5742.0,5187.0,4429.0,2483.0,5525.0,6544.0,8389.0,8429.0,8695.0,7647.0,6152.0,3778.0
W 38 St & 8 Ave,5611.0,5054.0,4061.0,1883.0,3713.0,4719.0,1035.0,,,,,
University Pl & E 14 St,5516.0,5351.0,4266.0,1978.0,4284.0,5964.0,6619.0,7912.0,8996.0,8200.0,7023.0,4399.0
Lafayette St & E 8 St,5492.0,5301.0,3951.0,2058.0,3547.0,4798.0,5554.0,6118.0,7291.0,6670.0,4662.0,3100.0
Broadway & W 60 St,5420.0,5127.0,5361.0,3284.0,8388.0,9647.0,10092.0,10540.0,11068.0,10106.0,8097.0,4726.0
W 33 St & 7 Ave,5367.0,4631.0,3646.0,1001.0,2737.0,4276.0,5334.0,5632.0,6375.0,6046.0,5001.0,3661.0
Broadway & W 41 St,5363.0,4336.0,3263.0,1285.0,2490.0,2397.0,4024.0,4782.0,5128.0,5053.0,4066.0,2628.0
Pershing Square South,4999.0,4125.0,3125.0,715.0,1151.0,1620.0,2563.0,2976.0,4118.0,4323.0,2915.0,1773.0
W 17 St & 8 Ave,4941.0,4446.0,3337.0,1539.0,3150.0,4293.0,4880.0,5535.0,6185.0,5059.0,,1243.0
Grand St & Elizabeth St,4899.0,4573.0,4271.0,2313.0,4693.0,6290.0,7572.0,8699.0,9071.0,8231.0,6344.0,4403.0
E 32 St & Park Ave,4892.0,4501.0,3441.0,1579.0,3042.0,3669.0,4690.0,4950.0,5161.0,5274.0,3702.0,2653.0
Greenwich Ave & 8 Ave,4887.0,4696.0,3594.0,1808.0,3922.0,5522.0,6445.0,7369.0,8864.0,7756.0,5630.0,3659.0
10 Ave & W 28 St,4835.0,4532.0,3096.0,1550.0,2865.0,3808.0,4844.0,5418.0,5652.0,5601.0,4241.0,2722.0
1 Ave & E 16 St,4835.0,4388.0,4104.0,2685.0,,221.0,6138.0,7453.0,7685.0,7978.0,5390.0,3831.0
Lexington Ave & E 26 St,4778.0,4954.0,3835.0,1668.0,,3075.0,5070.0,7160.0,7979.0,6515.0,5016.0,2766.0
W 27 St & 7 Ave,4744.0,4417.0,3284.0,1196.0,2658.0,3546.0,4241.0,4600.0,5214.0,4989.0,4159.0,2679.0
W 24 St & 7 Ave,4736.0,4385.0,3841.0,2316.0,4379.0,5657.0,6352.0,6837.0,7719.0,7150.0,5538.0,3595.0
Cooper Square & Astor Pl,4698.0,4738.0,3349.0,1346.0,2619.0,3516.0,4131.0,4542.0,5733.0,5463.0,4091.0,2535.0
Great Jones St,4636.0,4462.0,2941.0,983.0,2233.0,3164.0,3704.0,4222.0,5729.0,5400.0,4140.0,2885.0
West St & Chambers St,4566.0,3939.0,5808.0,4372.0,9485.0,10895.0,12141.0,13423.0,13225.0,10425.0,7457.0,3628.0
E 20 St & 2 Ave,4543.0,4077.0,3425.0,1876.0,3737.0,6728.0,5825.0,2744.0,,3113.0,4396.0,2843.0
E 33 St & 1 Ave,4496.0,3877.0,3852.0,3039.0,5747.0,6634.0,7709.0,8238.0,9473.0,9086.0,7009.0,4400.0
E 24 St & Park Ave S,4491.0,4272.0,3212.0,1028.0,2918.0,2452.0,,,,,,
Carmine St & 6 Ave,4487.0,4092.0,3630.0,2554.0,5213.0,7177.0,8299.0,9543.0,9690.0,8430.0,5979.0,3501.0
1 Ave & E 68 St,4480.0,3885.0,4321.0,4485.0,8007.0,10956.0,11151.0,11630.0,12816.0,12158.0,9658.0,7206.0
1 Ave & E 18 St,4465.0,4119.0,3529.0,2198.0,,195.0,4690.0,6393.0,7611.0,6447.0,4675.0,3210.0
W 26 St & 8 Ave,4442.0,4066.0,3494.0,2017.0,3255.0,4249.0,5143.0,5348.0,6361.0,5701.0,4480.0,2957.0
Broadway & W 29 St,4380.0,4010.0,2876.0,1015.0,2192.0,2984.0,3894.0,4592.0,5474.0,4912.0,4243.0,2633.0
W 18 St & 6 Ave,4357.0,3943.0,2847.0,717.0,1533.0,2831.0,2910.0,,,3028.0,3604.0,2635.0
Columbus Ave & W 72 St,4344.0,3846.0,3423.0,2209.0,4307.0,4914.0,5955.0,6892.0,8000.0,7665.0,5526.0,3352.0
E 16 St & 5 Ave,4298.0,3994.0,3014.0,1086.0,2261.0,3120.0,4504.0,5697.0,5919.0,5183.0,3586.0,2474.0
9 Ave & W 22 St,4276.0,4080.0,3694.0,2411.0,4541.0,5687.0,7119.0,7919.0,8585.0,8006.0,6356.0,3852.0
E 25 St & 2 Ave,4218.0,4040.0,3479.0,1906.0,4605.0,5671.0,6221.0,2609.0,,5446.0,4939.0,3095.0
W 22 St & 10 Ave,4175.0,3859.0,3285.0,1977.0,4249.0,5436.0,6276.0,7343.0,8517.0,8154.0,5633.0,3336.0
North Moore St & Greenwich St,4175.0,3996.0,3314.0,981.0,2289.0,3311.0,3916.0,4746.0,4786.0,4771.0,2997.0,1326.0
E 39 St & 2 Ave,4169.0,3488.0,3545.0,2177.0,4256.0,5938.0,7068.0,7253.0,256.0,,,
Cleveland Pl & Spring St,4169.0,3963.0,3233.0,1687.0,3365.0,5552.0,7573.0,8434.0,9202.0,8245.0,6065.0,3985.0
W 22 St & 8 Ave,4149.0,3682.0,2977.0,1710.0,3484.0,4773.0,5361.0,5982.0,6734.0,6083.0,4885.0,3220.0
E 15 St & 3 Ave,4131.0,3699.0,3210.0,1688.0,3241.0,4624.0,4767.0,6111.0,6745.0,6356.0,4779.0,2875.0
Broadway & W 49 St,4130.0,3854.0,3255.0,1613.0,3185.0,3435.0,4140.0,4481.0,6015.0,5515.0,4385.0,2291.0
E 7 St & Avenue A,4099.0,4014.0,3107.0,1714.0,3689.0,5025.0,5340.0,5800.0,6786.0,6384.0,5371.0,3424.0
2 Ave & E 31 St,4098.0,3624.0,3462.0,2358.0,4737.0,5955.0,6548.0,7376.0,7327.0,6394.0,5454.0,3605.0
W 52 St & 6 Ave,4087.0,3630.0,2804.0,840.0,1598.0,1998.0,2562.0,2697.0,3379.0,3201.0,1950.0,1387.0
Amsterdam Ave & W 73 St,3999.0,3975.0,3362.0,2074.0,3944.0,4702.0,5795.0,5843.0,6563.0,6098.0,5082.0,3418.0
Barrow St & Hudson St,3975.0,3698.0,3200.0,1611.0,3344.0,4338.0,4612.0,5535.0,5911.0,5355.0,3934.0,2110.0
5 Ave & E 29 St,3954.0,3667.0,2923.0,1228.0,2629.0,3350.0,4659.0,5299.0,5348.0,4954.0,3888.0,2480.0
12 Ave & W 40 St,3900.0,3328.0,5029.0,4045.0,10110.0,12245.0,12664.0,14368.0,12869.0,9335.0,6569.0,2953.0
E 23 St & 1 Ave,3896.0,3637.0,3110.0,1708.0,3623.0,5099.0,5087.0,6346.0,7311.0,5781.0,4379.0,2980.0
W 15 St & 7 Ave,3865.0,3547.0,3164.0,2198.0,4222.0,5359.0,5869.0,6535.0,7123.0,6145.0,3825.0,2509.0
E 2 St & Avenue A,3859.0,3704.0,2760.0,1509.0,3108.0,3689.0,4485.0,5245.0,5982.0,5343.0,3994.0,2658.0
E 11 St & 2 Ave,3845.0,3569.0,3184.0,2004.0,3996.0,5365.0,6136.0,7349.0,7860.0,1119.0,3969.0,2878.0
